object,count
oscilloscope,32775
socket_2,25335
welder_station,22522
power_supply_cables,20635
socket_1,19448
oscilloscope_probe_tip,18861
oscilloscope_ground_clip,16014
low_voltage_board,13860
pliers,12350
high_voltage_board,11570
socket_3,10619
welder_base,10060
screwdriver,9889
low_voltage_board_screen,8842
socket_4,8582
power_supply,8499
welder_probe_tip,6264
electric_screwdriver,4794
electric_screwdriver_battery,2956
register,2935
battery_connector,2791
left_red_button,1395
right_green_button,1383
right_red_button,1379
left_green_button,1377
