frame_key,video_id,timestamp,num_objects_detected,num_interactions,interacting_objects,verbs
44_898,44,29.933,4,1,['left_green_button'],['first_contact']
44_927,44,30.9,4,1,['left_green_button'],['decontact']
44_938,44,31.266,4,1,['right_green_button'],['first_contact']
44_953,44,31.766,4,1,['right_green_button'],['decontact']
44_1437,44,47.9,9,1,['high_voltage_board'],['take']
44_2728,44,90.933,10,1,['high_voltage_board'],['first_contact']
44_3096,44,103.2,10,2,"['high_voltage_board', 'high_voltage_board']","['decontact', 'decontact']"
44_3140,44,104.666,9,2,"['high_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
44_3405,44,113.5,8,1,['high_voltage_board'],['decontact']
44_3633,44,121.1,3,1,['socket_1'],['first_contact']
44_3853,44,128.433,3,1,['power_supply'],['first_contact']
44_4142,44,138.066,3,1,['power_supply'],['decontact']
44_4805,44,160.166,4,1,['socket_1'],['first_contact']
44_4867,44,162.233,3,1,['socket_1'],['decontact']
44_5049,44,168.3,3,1,['power_supply'],['first_contact']
44_5227,44,174.233,10,1,['power_supply_cables'],['take']
44_5278,44,175.933,11,1,['power_supply_cables'],['release']
44_5294,44,176.466,10,1,['power_supply_cables'],['take']
44_5377,44,179.233,7,1,['electric_screwdriver'],['take']
44_5455,44,181.833,10,1,['high_voltage_board'],['first_contact']
44_5566,44,185.533,9,1,['high_voltage_board'],['decontact']
44_5614,44,187.133,10,1,['high_voltage_board'],['first_contact']
44_5759,44,191.966,7,1,['high_voltage_board'],['release']
44_6012,44,200.4,4,1,['socket_3'],['first_contact']
44_6044,44,201.466,4,1,['socket_3'],['decontact']
44_6122,44,204.066,8,1,['welder_station'],['first_contact']
44_6561,44,218.7,9,1,['welder_station'],['decontact']
44_6690,44,223.0,8,1,['pliers'],['take']
44_7208,44,240.266,7,1,['welder_probe_tip'],['take']
44_8627,44,287.566,7,1,['welder_probe_tip'],['release']
44_9412,44,313.733,9,1,['welder_probe_tip'],['take']
44_11165,44,372.166,8,1,['welder_probe_tip'],['release']
44_11448,44,381.6,7,1,['welder_station'],['first_contact']
44_11576,44,385.866,7,1,['welder_station'],['decontact']
44_11672,44,389.066,4,1,['socket_3'],['first_contact']
44_11711,44,390.366,5,1,['socket_3'],['decontact']
44_11887,44,396.233,8,2,"['high_voltage_board', 'high_voltage_board']","['first_contact', 'first_contact']"
44_12026,44,400.866,9,1,['high_voltage_board'],['decontact']
44_12048,44,401.6,8,1,['electric_screwdriver'],['take']
44_12396,44,413.2,7,1,['high_voltage_board'],['decontact']
44_12433,44,414.433,5,1,['high_voltage_board'],['first_contact']
44_12618,44,420.6,6,3,"['high_voltage_board', 'electric_screwdriver', 'electric_screwdriver']","['first_contact', 'contact', 'contact']"
44_13102,44,436.733,5,1,['high_voltage_board'],['decontact']
44_13127,44,437.566,4,2,"['high_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
44_13637,44,454.566,7,2,"['high_voltage_board', 'high_voltage_board']","['decontact', 'decontact']"
44_13850,44,461.666,4,1,['socket_1'],['first_contact']
44_13865,44,462.166,3,1,['socket_1'],['decontact']
44_13973,44,465.766,3,1,['power_supply'],['first_contact']
44_14056,44,468.533,3,1,['power_supply'],['decontact']
44_14119,44,470.633,3,1,['power_supply'],['first_contact']
44_14387,44,479.566,3,1,['power_supply'],['decontact']
44_14662,44,488.733,7,1,['high_voltage_board'],['decontact']
44_14914,44,497.133,4,1,['socket_2'],['first_contact']
44_14950,44,498.333,3,1,['socket_2'],['decontact']
44_15163,44,505.433,5,1,['oscilloscope'],['first_contact']
44_15357,44,511.9,4,1,['oscilloscope'],['decontact']
44_15547,44,518.233,6,1,['high_voltage_board'],['first_contact']
44_15591,44,519.7,7,1,['high_voltage_board'],['decontact']
44_16035,44,534.5,6,1,['high_voltage_board'],['decontact']
44_16117,44,537.233,4,1,['oscilloscope'],['first_contact']
44_16424,44,547.466,4,1,['oscilloscope'],['decontact']
44_17163,44,572.1,5,1,['oscilloscope'],['decontact']
44_17350,44,578.333,4,1,['oscilloscope'],['decontact']
44_18300,44,610.0,5,1,['oscilloscope'],['first_contact']
44_18329,44,610.966,4,1,['oscilloscope'],['decontact']
44_18631,44,621.033,4,1,['oscilloscope'],['decontact']
44_19138,44,637.933,4,1,['oscilloscope'],['first_contact']
44_19204,44,640.133,4,1,['oscilloscope'],['decontact']
44_19388,44,646.266,4,1,['oscilloscope'],['first_contact']
44_19470,44,649.0,5,1,['oscilloscope'],['decontact']
