frame_key,video_id,timestamp,num_objects_detected,num_interactions,interacting_objects,verbs,target_object,target_verb,target_pair
44_898,44,29.933,4,1,['left_green_button'],['first_contact'],left_green_button,first_contact,first_contact__left_green_button
44_927,44,30.9,4,1,['left_green_button'],['decontact'],left_green_button,decontact,decontact__left_green_button
44_938,44,31.266,4,1,['right_green_button'],['first_contact'],right_green_button,first_contact,first_contact__right_green_button
44_953,44,31.766,4,1,['right_green_button'],['decontact'],right_green_button,decontact,decontact__right_green_button
44_1437,44,47.9,9,1,['high_voltage_board'],['take'],high_voltage_board,take,take__high_voltage_board
44_2728,44,90.933,10,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_3405,44,113.5,8,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_3633,44,121.1,3,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_3853,44,128.433,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_4142,44,138.066,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_4805,44,160.166,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_4867,44,162.233,3,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
44_5049,44,168.3,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_5227,44,174.233,10,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
44_5278,44,175.933,11,1,['power_supply_cables'],['release'],power_supply_cables,release,release__power_supply_cables
44_5294,44,176.466,10,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
44_5377,44,179.233,7,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
44_5455,44,181.833,10,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
